,user,date,text,favorite_count,polarity,subjectivity
82,FSikote,Mon Sep 17 18:07:42 +0000 2018,RT @MacOmbima: Matiangi is everywhere with the security reforms that doesn't make sense at all.This is bullshit!people getting kidnapped da…,0,0.0,0.0
81,Wanjala,Mon Sep 17 18:09:00 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
80,fitzawimbo,Mon Sep 17 18:12:35 +0000 2018,@KTNNews Where are those matiangi men with teargas and water canons to quell the situation? Or they only appear whe… https://t.co/5LaJrtrlsa,0,0.0,1.0
79,RedXRISTOS,Mon Sep 17 18:14:51 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
78,ranchoYuleMdark,Mon Sep 17 18:18:39 +0000 2018,Matiangi please be a nightmare to these inciters of the molo violence let them never have peace,0,0.0,0.0
54,GRono,Tue Sep 18 03:02:19 +0000 2018,"Matiang'i seeks suspects' bail, bond terms review to save court time https://t.co/IdbzxnlnUs https://t.co/0euK0gIbOc",0,0.0,0.0
50,jeremy_magu,Tue Sep 18 04:37:44 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
52,lagaless,Tue Sep 18 04:00:06 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
13,LaurenTimmons17,Wed Sep 19 09:52:25 +0000 2018,RT @Dominic88495044: Good work cs matiangi . he is doing the the right thing by arresting big criminal#mrn,0,0.32857142857142857,0.41190476190476194
22,ambrosewinga,Wed Sep 19 07:24:49 +0000 2018,"@QueenGathoni @karigoh Who is this twitter ""matiangi""",0,0.0,0.0
21,subbysteve,Wed Sep 19 07:29:45 +0000 2018,RT @Dominic88495044: Good work cs matiangi . he is doing the the right thing by arresting big criminal#mrn,0,0.32857142857142857,0.41190476190476194
20,al_zaz,Wed Sep 19 07:50:02 +0000 2018,@FredMatiangi HON. FRED MATIANGI HOW SOON WE CAN CHANGE OUR PASSPORTS IN DIASPORA. MOST OF THE CONSULATE HAVE NO ID… https://t.co/9cWCkSitlF,0,0.5,0.5
