,user,date,text,favorite_count,polarity,subjectivity
60,MichelleAzzurra,Wed Sep 19 03:15:53 +0000 2018,@kplc_power No electricity for 2 days. A/C 2183615. Please do something about it.,0,0.0,0.0
59,samsonchira,Wed Sep 19 03:34:48 +0000 2018,"@KenyaPower kindly intervene here

MIJ2QF9DO0 Confirmed. Ksh1,000.00 sent to KPLC PREPAID  for account 14251811445… https://t.co/kafCyqyW50",0,0.5,0.95
57,Kplc_,Wed Sep 19 03:53:29 +0000 2018,HARTA SHARON😂😂😂😂😂😂 https://t.co/A7OPXzVhVg,0,0.0,0.0
56,CreeMasindet,Wed Sep 19 04:13:02 +0000 2018,@KenyaPower_Care MII5QBXU5F Confirmed. Ksh280.00 sent to KPLC PREPAID  for account 14140390643 on 18/9/18 at 8:34 P… https://t.co/sqBqQQQPNm,0,0.4,1.0
55,Kathansojah,Wed Sep 19 04:36:36 +0000 2018,"RT @Paperboyrocks: @BenjiNdolo @francis_mmakau @TrottoirRadio @MikeSonko Did anyone ask the county why they have not equipped Pumwani?

KPL…",0,0.0,0.0
73,Santimark19,Tue Sep 18 19:58:02 +0000 2018,@KenyaPower_Care MII5QDN9BN Confirmed. Ksh200.00 sent to KPLC PREPAID  for account 14105460696 on 18/9/18 at 9:50 P… https://t.co/Ymw46Z2Neh,0,0.4,1.0
76,shiriyy,Tue Sep 18 19:54:31 +0000 2018,@KenyaPower_Care @KenyaPower one and half hours later yet to receive the tokens for this purchase 'MII9QD4PQ5 Confi… https://t.co/zfUg2C3N38,0,-0.08333333333333333,0.08333333333333333
75,GabrielGachary,Tue Sep 18 19:56:09 +0000 2018,@kplc_power we have had no power at Kenyatta road since yesternight. What’s not happening,0,0.0,0.0
87,sidan47283720,Tue Sep 18 19:24:16 +0000 2018,MIH1PQ1AG3 sent to KPLC PREPAID  for account 01450719568 on 17/9/18 at 11:01 PM,0,0.0,0.0
98,MunwashC,Tue Sep 18 18:57:46 +0000 2018,@VMwavu @KenyaPower Many thanks. Noted. I've been sorted. Thanks KPLC.,0,0.3,0.3
96,vancos11,Tue Sep 18 19:04:44 +0000 2018,"@KenyaPower_Care 
Still waiting for tokens
KPLC PREPAID  for account 14106622369",0,0.0,0.0
95,obunejunior,Tue Sep 18 19:05:26 +0000 2018,"@ouma_hesborn @KTNNews @KPLC we don't believe in posterity!
Now!!",0,0.0,0.0
93,Superdawalle,Tue Sep 18 19:09:22 +0000 2018,Kplc please do something https://t.co/eFCbGkODuv,0,0.0,0.0
92,Charligreg_74,Tue Sep 18 19:10:37 +0000 2018,@KenyaPower_Care Am yet to receive my token from this transaction 👉MII8QBQ1HC Confirmed. Ksh100.00 sent to KPLC PRE… https://t.co/ggZ3VOYgvs,0,0.4,1.0
91,ROdunga,Tue Sep 18 19:10:42 +0000 2018,"@KenyaPower_Care Do you have delays in token generation ?

MII4QDWNZA Confirmed. Ksh300.00 sent to KPLC PREPAID  fo… https://t.co/ZC8eaQhsJG",0,0.4,1.0
