,user,date,text,favorite_count,polarity,subjectivity
37,MSR_Future,Wed Sep 19 14:54:14 +0000 2018,"RT @AaronBlake: FWIW, the Supreme Court has functioned with 8 justices before, most notably when *Republicans* refused to hold a Merrick Ga…",0,0.5,0.5
36,wake_fuck,Wed Sep 19 14:54:14 +0000 2018,RT @Goss30Goss: All 11 Republicans on the Senate Judiciary Committee should be relieved of their positions effective immediately. When you…,0,0.6,0.8
35,JFaillaceNY,Wed Sep 19 14:54:15 +0000 2018,"RT @TheAVClub: Senate passes Music Modernization Act, paving the way for big royalty changes https://t.co/oJNU30E6V3 https://t.co/q6e6iOl3eS",0,0.0,0.1
34,Arghlita,Wed Sep 19 14:54:15 +0000 2018,"RT @K8_Waters: You were in the United States Senate, voting against making MLK Day a holiday. https://t.co/4XXryESEkC",0,0.0,0.0
33,benweinrib,Wed Sep 19 14:54:15 +0000 2018,Serious question: if Senate Republicans are in such a rush to confirm Kavanaugh that they can’t wait for an FBI inv… https://t.co/0QtVGHm8LZ,0,-0.16666666666666666,0.5833333333333333
32,muskateer10,Wed Sep 19 14:54:15 +0000 2018,RT @SheriffClarke: There is a disconnect when GOP congresssional leaders spend nearly a trillion $ and call it a “break through”. All that…,0,0.1,0.4
31,Fangddoc,Wed Sep 19 14:54:15 +0000 2018,Senate Approves Biggest and Fastest Spending Bill in History https://t.co/6QVyTnzwyZ via @rushlimbaugh,0,0.0,0.0
30,DMR0514,Wed Sep 19 14:54:15 +0000 2018,RT @RealJamesWoods: “Shouldn’t be a rush into hearing...” #MeTooHucksters are going to hold the United States Senate hostage to their shena…,0,0.0,0.0
29,kambam_32,Wed Sep 19 14:54:15 +0000 2018,Forget senate... BETO FOR PRESIDENT https://t.co/d1Pv7I6ds5,0,0.0,0.0
28,Brandontheblade,Wed Sep 19 14:54:15 +0000 2018,"RT @JerylBier: The @nytimes initially reported that Mark Judge ""told the Judiciary Committee that ***he does remember*** the episode and ha…",0,0.0,0.0
27,LoveCovfefe2020,Wed Sep 19 14:54:16 +0000 2018,"RT @Thomas1774Paine: ON THE RUN: Kavanaugh’s Accuser Goes Underground, Blows Off Senate Invite to Testify https://t.co/2xIn90YVcI",0,0.0,0.0
99,sternfan10,Wed Sep 19 14:54:06 +0000 2018,RT @Politics_PR: Beto O’Rourke Leads Cruz by 2 points in New Texas Senate Poll https://t.co/h7H5dXhv9I https://t.co/AGRrRY4LuB,0,0.13636363636363635,0.45454545454545453
